provinsi,kode_prov,tahun,bulan,nama_bulan,urutan,akun,anggaran,realisasi,persentase
Sumatera Utara,02,2023,11,November,36,Pemberian Pinjaman Daerah,1000000000.0,1000000000.0,100.0
Sumatera Utara,02,2023,11,November,37,Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,2312591400.0,0.0,0.0
Sumatera Utara,02,2023,12,Desember,1,Pendapatan Daerah,61105354772185.0,55736723111885.0,91.21
Sumatera Utara,02,2023,12,Desember,2,PAD,16165041109374.0,12771424341115.0,79.01
Sumatera Utara,02,2023,12,Desember,3,Pajak Daerah,12883310054009.0,10187767406375.0,79.08
Sumatera Utara,02,2023,12,Desember,4,Retribusi Daerah,706571711347.0,388570967197.37,54.99
Sumatera Utara,02,2023,12,Desember,5,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,712889250364.0,645025268759.0,90.48
Sumatera Utara,02,2023,12,Desember,6,Lain-Lain PAD yang Sah,1862270093654.0,1550060698783.2,83.24
Sumatera Utara,02,2023,12,Desember,7,TKDD,41293751175820.0,39520587041888.0,95.71
Sumatera Utara,02,2023,12,Desember,8,Pendapatan Transfer Pemerintah Pusat,41293751175820.0,39520587041888.0,95.71
Sumatera Utara,02,2023,12,Desember,9,Pendapatan Lainnya,3646562486991.2,3444711728882.1,94.46
Sumatera Utara,02,2023,12,Desember,10,Pendapatan Hibah,193940776682.0,190575926875.32,98.27
Sumatera Utara,02,2023,12,Desember,11,Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,537116210245.0,472171854832.19,87.91
Sumatera Utara,02,2023,12,Desember,12,Pendapatan Transfer Antar Daerah,2915505500064.2,2781963947174.5,95.42
Sumatera Utara,02,2023,12,Desember,13,Belanja Daerah,64005510298886.0,57206022704746.0,89.38
Sumatera Utara,02,2023,12,Desember,14,Belanja Pegawai,22359293137225.0,18449766194134.0,82.51
Sumatera Utara,02,2023,12,Desember,15,Belanja Pegawai,22359293137225.0,18449766194134.0,82.51
Sumatera Utara,02,2023,12,Desember,16,Belanja Barang dan Jasa,16101429369457.0,15760214349683.0,97.88
Sumatera Utara,02,2023,12,Desember,17,Belanja Barang dan Jasa,16101429369457.0,15760214349683.0,97.88
Sumatera Utara,02,2023,12,Desember,18,Belanja Modal,11987672019419.0,10663622970864.0,88.95
Sumatera Utara,02,2023,12,Desember,19,Belanja Modal,11987672019419.0,10663622970864.0,88.95
Sumatera Utara,02,2023,12,Desember,20,Belanja Lainnya,13557115772785.0,12332419190066.0,90.97
Sumatera Utara,02,2023,12,Desember,21,Belanja Bagi Hasil,2873089860847.0,2587872762385.2,90.07
Sumatera Utara,02,2023,12,Desember,22,Belanja Bantuan Keuangan,6683087417910.0,6210645071430.0,92.93
Sumatera Utara,02,2023,12,Desember,23,Belanja Bunga,75422206842.0,62379500985.0,82.71
Sumatera Utara,02,2023,12,Desember,24,Belanja Subsidi,2687500000.0,2521210000.0,93.81
Sumatera Utara,02,2023,12,Desember,25,Belanja Hibah,3218749116079.0,3171789124495.6,98.54
Sumatera Utara,02,2023,12,Desember,26,Belanja Bantuan Sosial,186745586010.0,160312548666.0,85.85
Sumatera Utara,02,2023,12,Desember,27,Belanja Tidak Terduga,517334085097.0,136898972104.16,26.46
Sumatera Utara,02,2023,12,Desember,28,Pembiayaan Daerah,2900155526701.0,3687744549872.5,127.16
Sumatera Utara,02,2023,12,Desember,29,Penerimaan Pembiayaan Daerah,3167717292506.0,3862482033613.5,121.93
Sumatera Utara,02,2023,12,Desember,30,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,3124606649223.0,3852308154129.7,123.29
Sumatera Utara,02,2023,12,Desember,31,Penerimaan Pinjaman Daerah,41710643283.0,3675563032.0,8.81
Sumatera Utara,02,2023,12,Desember,32,Penerimaan Kembali Pemberian Pinjaman Daerah,1400000000.0,6498316451.79,464.17
Sumatera Utara,02,2023,12,Desember,33,Pengeluaran Pembiayaan Daerah,267561765805.0,174737483741.0,65.31
Sumatera Utara,02,2023,12,Desember,34,Penyertaan Modal Daerah,165890750565.0,33542503332.0,20.22
Sumatera Utara,02,2023,12,Desember,35,Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,98358423840.0,137395780879.0,139.69
Sumatera Utara,02,2023,12,Desember,36,Pemberian Pinjaman Daerah,1000000000.0,1500000000.0,150.0
Sumatera Utara,02,2023,12,Desember,37,Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,2312591400.0,2299199530.0,99.42
Sumatera Utara,02,2024,1,Januari,1,Pendapatan Daerah,65750120808175.0,4066886270554.0,6.19
Sumatera Utara,02,2024,1,Januari,2,PAD,18011772607169.0,689731348673.03,3.83
Sumatera Utara,02,2024,1,Januari,3,Pajak Daerah,13897441270091.0,596556726875.21,4.29
Sumatera Utara,02,2024,1,Januari,4,Retribusi Daerah,875902771848.0,23939010597.0,2.73
Sumatera Utara,02,2024,1,Januari,5,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,752533661667.0,10000000.0,0.0
Sumatera Utara,02,2024,1,Januari,6,Lain-Lain PAD yang Sah,2485894903563.0,69225611200.82,2.78
Sumatera Utara,02,2024,1,Januari,7,TKDD,43841560545949.0,3351889952961.0,7.65
Sumatera Utara,02,2024,1,Januari,8,Pendapatan Transfer Pemerintah Pusat,43841560545949.0,3351889952961.0,7.65
Sumatera Utara,02,2024,1,Januari,9,Pendapatan Lainnya,3896787655057.0,25264968920.0,0.65
Sumatera Utara,02,2024,1,Januari,10,Pendapatan Hibah,73834909459.0,2121062.0,0.0
Sumatera Utara,02,2024,1,Januari,11,Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,673821231212.0,25243168858.0,3.75
Sumatera Utara,02,2024,1,Januari,12,Pendapatan Transfer Antar Daerah,3149131514386.0,19679000.0,0.0
Sumatera Utara,02,2024,1,Januari,13,Belanja Daerah,67492245350864.0,1282718089283.0,1.9
Sumatera Utara,02,2024,1,Januari,14,Belanja Pegawai,23514603205376.0,862548731231.0,3.67
Sumatera Utara,02,2024,1,Januari,15,Belanja Pegawai,23514603205376.0,862548731231.0,3.67
Sumatera Utara,02,2024,1,Januari,16,Belanja Barang dan Jasa,17925949413730.0,117714319989.01,0.66
Sumatera Utara,02,2024,1,Januari,17,Belanja Barang dan Jasa,17925949413730.0,117714319989.01,0.66
Sumatera Utara,02,2024,1,Januari,18,Belanja Modal,10580234732991.0,273527000.0,0.0
Sumatera Utara,02,2024,1,Januari,19,Belanja Modal,10580234732991.0,273527000.0,0.0
Sumatera Utara,02,2024,1,Januari,20,Belanja Lainnya,15471457998767.0,302181511063.0,1.95
