unique_id,ds,y
Aceh | Belanja Barang dan Jasa,2023-08-01,337557418198.1001
Aceh | Belanja Barang dan Jasa,2023-09-01,232784739093.1001
Aceh | Belanja Barang dan Jasa,2023-10-01,360637843604.3999
Aceh | Belanja Barang dan Jasa,2023-11-01,284312147286.3999
Aceh | Belanja Barang dan Jasa,2023-12-01,1511781905595.7002
Aceh | Belanja Barang dan Jasa,2024-01-01,601250070.42
Aceh | Belanja Barang dan Jasa,2024-02-01,4341263095.57
Aceh | Belanja Barang dan Jasa,2024-03-01,147161038561.99002
Aceh | Belanja Barang dan Jasa,2024-04-01,351273333896.74
Aceh | Belanja Barang dan Jasa,2024-05-01,414096427771.0
Aceh | Belanja Barang dan Jasa,2024-06-01,198189535073.78003
Aceh | Belanja Barang dan Jasa,2024-07-01,273151084512.0
Aceh | Belanja Barang dan Jasa,2024-08-01,471295743663.80005
Aceh | Belanja Barang dan Jasa,2024-09-01,345522161118.40015
Aceh | Belanja Barang dan Jasa,2024-10-01,218942322971.3999
Aceh | Belanja Barang dan Jasa,2024-11-01,387108396403.6997
Aceh | Belanja Barang dan Jasa,2024-12-01,915432682020.7002
Aceh | Belanja Barang dan Jasa,2025-01-01,386627042.0
Aceh | Belanja Barang dan Jasa,2025-02-01,86406875732.0
Aceh | Belanja Barang dan Jasa,2025-03-01,236780287856.25
Aceh | Belanja Barang dan Jasa,2025-04-01,59943559651.0
Aceh | Belanja Barang dan Jasa,2025-05-01,338660165545.25
Aceh | Belanja Barang dan Jasa,2025-06-01,581608033307.0
Aceh | Belanja Barang dan Jasa,2025-07-01,255154252458.6001
Aceh | Belanja Barang dan Jasa,2025-08-01,390325534054.8999
Aceh | Belanja Barang dan Jasa,2025-09-01,270944642718.7002
Aceh | Belanja Barang dan Jasa,2025-10-01,222585434095.0996
Aceh | Belanja Barang dan Jasa,2025-11-01,368556178558.7002
Aceh | Belanja Barang dan Jasa,2025-12-01,832661770837.8999
Aceh | Belanja Barang dan Jasa,2026-01-01,0.0
Aceh | Belanja Barang dan Jasa,2026-02-01,0.0
Aceh | Belanja Barang dan Jasa,2026-03-01,0.0
Aceh | Belanja Barang dan Jasa,2026-04-01,0.0
Aceh | Belanja Barang dan Jasa,2026-05-01,0.0
Aceh | Belanja Barang dan Jasa,2026-06-01,1259194564621.5
Aceh | Belanja Daerah,2023-01-01,139422965300.78
Aceh | Belanja Daerah,2023-02-01,373908907042.17004
Aceh | Belanja Daerah,2023-03-01,580998442662.55
Aceh | Belanja Daerah,2023-04-01,941386107515.0
Aceh | Belanja Daerah,2023-05-01,0.0
Aceh | Belanja Daerah,2023-06-01,754628412951.6001
Aceh | Belanja Daerah,2023-07-01,959053966576.3999
Aceh | Belanja Daerah,2023-08-01,804150938363.7998
Aceh | Belanja Daerah,2023-09-01,774495553945.5
Aceh | Belanja Daerah,2023-10-01,1027273655020.7002
Aceh | Belanja Daerah,2023-11-01,1165635294058.4004
Aceh | Belanja Daerah,2023-12-01,2968091055297.0996
Aceh | Belanja Daerah,2024-01-01,123210703452.42
Aceh | Belanja Daerah,2024-02-01,122043434063.56999
Aceh | Belanja Daerah,2024-03-01,434148678218.99
Aceh | Belanja Daerah,2024-04-01,898039940283.72
Aceh | Belanja Daerah,2024-05-01,1313750057434.0002
Aceh | Belanja Daerah,2024-06-01,818006488536.2998
Aceh | Belanja Daerah,2024-07-01,1033041198041.0996
Aceh | Belanja Daerah,2024-08-01,1610404092753.1006
Aceh | Belanja Daerah,2024-09-01,740879823374.5996
Aceh | Belanja Daerah,2024-10-01,630129933533.6006
Aceh | Belanja Daerah,2024-11-01,1074241808746.5
Aceh | Belanja Daerah,2024-12-01,2489252729414.0996
Aceh | Belanja Daerah,2025-01-01,137806240391.0
Aceh | Belanja Daerah,2025-02-01,245371855096.0
Aceh | Belanja Daerah,2025-03-01,866617379218.2
Aceh | Belanja Daerah,2025-04-01,555513670602.0
Aceh | Belanja Daerah,2025-05-01,902210886637.0002
Aceh | Belanja Daerah,2025-06-01,1098015884891.2998
Aceh | Belanja Daerah,2025-07-01,564431411905.0
Aceh | Belanja Daerah,2025-08-01,1020009361950.7002
Aceh | Belanja Daerah,2025-09-01,1051292076543.7002
Aceh | Belanja Daerah,2025-10-01,520607583645.3994
Aceh | Belanja Daerah,2025-11-01,1074107215943.0
Aceh | Belanja Daerah,2025-12-01,1764525267537.2998
Aceh | Belanja Daerah,2026-01-01,0.0
Aceh | Belanja Daerah,2026-02-01,0.0
Aceh | Belanja Daerah,2026-03-01,0.0
Aceh | Belanja Daerah,2026-04-01,0.0
Aceh | Belanja Daerah,2026-05-01,0.0
Aceh | Belanja Daerah,2026-06-01,4290113121614.5
Aceh | Belanja Hibah,2023-01-01,0.0
Aceh | Belanja Hibah,2023-02-01,1172440000.0
Aceh | Belanja Hibah,2023-03-01,18931061229.0
Aceh | Belanja Hibah,2023-04-01,111354816553.0
Aceh | Belanja Hibah,2023-05-01,0.0
Aceh | Belanja Hibah,2023-06-01,88557938963.0
Aceh | Belanja Hibah,2023-07-01,70243926553.0
Aceh | Belanja Hibah,2023-08-01,110847721331.0
